RoundNumber,ExecutionTime
1,3.404930522000029
2,3.408657933000029
3,3.3942813950000073
4,3.4184816499999897
5,3.3971099629999912
6,3.425855960999968
7,3.420991410000056
8,3.4027986629999987
9,3.412691568000014
10,3.41574032799997
11,3.4256476130000237
12,3.426151799999957
13,3.4228556110000454
14,3.4265306409999994
15,3.408343101000014
16,3.4147251639999467
17,3.416647614999988
18,3.4354162009999527
19,3.4132952809999324
20,3.4327256190000526
21,3.4165373490000093
22,3.4055837859999656
23,3.424578462999989
24,3.407610922999993
25,3.4120885500000213
26,3.4131638679999696
27,3.4360862639999823
28,3.410511814000074
29,3.4179581670000516
30,3.4104165930000363
31,3.4012634669999215
32,3.4222149419999823
33,3.4100177420000364
34,3.4182931379999673
35,3.4203875989999233
36,3.4217208719999235
37,3.4045025279999663
38,3.411247845999924
39,3.4115142349999132
40,3.3992095510000127
41,3.420461154999998
42,3.4203235720000293
43,3.4160820759999524
44,3.417848617000004
45,3.4276518509999505
46,3.4541658010000447
47,3.423900892000006
48,3.418829716999994
49,3.4070075439999528
50,3.4171870300000364
51,3.3632551460000286
52,3.4372021269999777
53,3.4165790569999217
54,3.4097196650000114
55,3.3901018770000064
56,3.4280115010000145
57,3.4088107069999296
58,3.407434973000136
59,3.421877016000053
60,3.3695809549999467
61,3.393424153000069
62,3.399111400000038
63,3.383729940999956
64,3.4045496230000936
65,3.3850092709999444
66,3.402577605000033
67,3.3715775560001475
68,3.3707064640000226
69,3.3640226069999244
70,3.389363767999839
71,3.3866788889999953
72,3.370337723000148
73,3.4032792680000057
74,3.375696891999951
75,3.3717273330000808
76,3.377295027000173
77,3.3895419160000984
78,3.40008385200008
79,3.386876364000045
80,3.3926350639999328
81,3.3906764060000114
82,3.3980801080001584
83,3.3992355819998465
84,3.3936654380001983
85,3.40200348999997
86,3.392584014000022
87,3.386929221999935
88,3.431205231999911
89,3.4095610280000983
90,3.366486272999964
91,3.3879788009999174
92,3.339306367000063
93,3.421321022000029
94,3.4076250240000263
95,3.4068494910000027
96,3.4021267000000535
97,3.4001081970000087
98,3.3709406339999077
99,3.369615475999808
100,3.3825495270000374
